Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,24.21,24.05,24.37,90643
Alameda,25.31,24.48,26.16,3862
Alpine,N/A,N/A,N/A,N/A
Amador,32.41,25.89,39.95,95
Butte,23.72,21.47,26.13,443
Calaveras,36.74,30.02,44.39,120
Colusa,28.35,21.45,36.73,61
Contra Costa,26.6,25.62,27.61,2907
Del Norte,38.8,31.29,47.51,97
El Dorado,24.18,21.7,26.85,387
Fresno,34.7,33.54,35.88,3521
Glenn,29.34,23.01,36.82,79
Humboldt,27.67,24.77,30.81,344
Imperial,21.93,19.73,24.3,400
Inyo,34.43,25.42,45.4,50
Kern,26.84,25.77,27.95,2440
Kings,34.27,31.37,37.36,526
Lake,40.32,35.17,45.99,242
Lassen,28.92,22.95,35.94,89
Los Angeles,26.2,25.87,26.54,24746
Madera,31.19,28.39,34.19,471
Marin,13.78,12.17,15.54,305
Mariposa,17.51,10.8,26.64,26
Mendocino,33.13,29.17,37.46,266
Merced,37.24,34.98,39.61,1049
Modoc,51.68,34.97,73.17,35
Mono,29.35,20.17,41.13,36
Monterey,22.36,20.96,23.83,968
Napa,15.67,13.48,18.11,201
Nevada,20.51,17.34,24.06,168
Orange,16.11,15.65,16.58,4788
Placer,19.86,18.4,21.39,734
Plumas,26.49,18.31,36.84,39
Riverside,26,25.34,26.67,6069
Sacramento,32.46,31.56,33.39,5008
San Benito,24.26,20.41,28.6,145
San Bernardino,30.45,29.71,31.21,6560
San Diego,17.91,17.44,18.39,5716
San Francisco,17.92,16.95,18.93,1387
San Joaquin,35.29,33.96,36.67,2708
San Luis Obispo,16.28,14.67,18.01,411
San Mateo,13.17,12.31,14.08,926
Santa Barbara,15.73,14.53,17,672
Santa Clara,14.56,14,15.14,2663
Santa Cruz,18.52,16.76,20.42,443
Shasta,25.27,22.81,27.91,409
Sierra,N/A,N/A,N/A,N/A
Siskiyou,21.42,16.71,26.96,76
Solano,40.05,38.13,42.03,1705
Sonoma,15,13.84,16.22,673
Stanislaus,32.44,30.93,34.02,1769
Sutter,23.18,20.12,26.56,215
Tehama,31.38,26.96,36.29,189
Trinity,26.72,17.97,38.01,33
Tulare,26.95,25.46,28.51,1280
Tuolumne,23.59,19.03,28.85,104
Ventura,16.81,15.89,17.76,1312
Yolo,22.87,20.66,25.24,436
Yuba,29.34,25.66,33.4,235
