Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,18.92,18.76,19.08,58083
Alameda,15.34,14.68,16.03,2175
Alpine,N/A,N/A,N/A,N/A
Amador,37.54,31.68,44.26,182
Butte,50.06,46.6,53.71,849
Calaveras,40.29,33.77,47.76,201
Colusa,30.16,21.96,40.52,48
Contra Costa,15.91,15.13,16.72,1646
Del Norte,43.51,35.37,53.05,107
El Dorado,25.28,22.85,27.91,487
Fresno,26.23,24.99,27.53,1724
Glenn,56.89,46.78,68.59,124
Humboldt,36.81,33.16,40.76,414
Imperial,11.62,9.72,13.79,143
Inyo,32.57,24.61,42.53,65
Kern,33.76,32.26,35.31,1981
Kings,29.09,25.68,32.82,275
Lake,80.26,73.03,88.04,543
Lassen,54.95,46.05,65.12,142
Los Angeles,16.18,15.89,16.48,12251
Madera,23.38,20.63,26.4,271
Marin,7.33,6.32,8.48,222
Mariposa,43.6,33.11,56.59,87
Mendocino,32.58,28.42,37.19,259
Merced,33.5,30.77,36.41,573
Modoc,63.89,45.54,87.53,52
Mono,11.1,5.39,20.24,12
Monterey,16.15,14.73,17.67,500
Napa,12.66,10.8,14.78,178
Nevada,18.86,16.02,22.09,216
Orange,11.75,11.31,12.2,2916
Placer,16.28,14.98,17.66,618
Plumas,49.23,37.78,63.05,104
Riverside,20.61,19.94,21.3,3667
Sacramento,28.28,27.33,29.27,3449
San Benito,15.6,12.15,19.73,73
San Bernardino,25.42,24.58,26.27,3705
San Diego,17.37,16.85,17.9,4403
San Francisco,17.12,16.2,18.08,1347
San Joaquin,29.54,28.08,31.06,1597
San Luis Obispo,18.09,16.39,19.92,465
San Mateo,7.44,6.78,8.15,514
Santa Barbara,15.97,14.62,17.42,543
Santa Clara,9.58,9.08,10.1,1455
Santa Cruz,8.59,7.4,9.93,205
Shasta,40.92,37.77,44.27,702
Sierra,N/A,N/A,N/A,N/A
Siskiyou,34.95,29.1,41.69,158
Solano,26.04,24.37,27.79,969
Sonoma,17.21,15.97,18.53,789
Stanislaus,32.71,30.9,34.6,1273
Sutter,42.71,38,47.85,322
Tehama,53.31,47.38,59.82,322
Trinity,40.07,30.16,52.41,69
Tulare,26.52,24.66,28.47,787
Tuolumne,29.42,25.07,34.38,194
Ventura,15.67,14.69,16.7,1035
Yolo,23,20.56,25.66,343
Yuba,60.16,53.65,67.25,324
