Counties,"Age-adjusted rate per 10,000",Lower 95% Limit,Upper 95% Limit,Number of cases
California,6.63,6.54,6.72,22058
Alameda,5.17,4.8,5.55,790
Alpine,N/A,N/A,N/A,N/A
Amador,10.19,7.2,14.1,48
Butte,14.42,12.72,16.31,274
Calaveras,8.7,6.31,11.92,56
Colusa,11.88,7.29,18.5,21
Contra Costa,5.17,4.75,5.62,575
Del Norte,7.78,4.47,12.67,18
El Dorado,7.53,6.44,8.8,180
Fresno,12.26,11.44,13.13,851
Glenn,13.02,9.04,18.41,35
Humboldt,8.59,6.97,10.49,106
Imperial,3.17,2.27,4.34,43
Inyo,7.46,4.36,12.5,18
Kern,9.95,9.16,10.79,604
Kings,6.77,5.25,8.59,70
Lake,13.85,11.13,17.11,102
Lassen,10.38,6.87,15.19,29
Los Angeles,7.42,7.23,7.62,6044
Madera,13.28,11.32,15.5,167
Marin,2.49,1.93,3.18,80
Mariposa,11.6,6.86,18.85,27
Mendocino,5.94,4.34,7.98,53
Merced,9.51,8.15,11.05,177
Modoc,25.29,16.21,38.83,28
Mono,N/A,N/A,N/A,N/A
Monterey,6.21,5.4,7.1,220
Napa,3.74,2.8,4.93,56
Nevada,2.35,1.49,3.61,29
Orange,3.73,3.5,3.97,1046
Placer,4.28,3.68,4.97,185
Plumas,10.35,5.64,17.54,23
Riverside,6.4,6.04,6.77,1232
Sacramento,11.27,10.68,11.88,1423
San Benito,4.77,3,7.2,23
San Bernardino,8.14,7.69,8.62,1259
San Diego,6.16,5.87,6.47,1675
San Francisco,6.79,6.23,7.38,575
San Joaquin,7.64,6.94,8.39,445
San Luis Obispo,4.09,3.37,4.94,121
San Mateo,2.39,2.05,2.78,186
Santa Barbara,4.14,3.5,4.86,157
Santa Clara,3.26,2.99,3.54,560
Santa Cruz,3.82,3.09,4.7,102
Shasta,12.02,10.38,13.86,214
Sierra,N/A,N/A,N/A,N/A
Siskiyou,6.03,3.82,9.19,29
Solano,4.93,4.25,5.7,197
Sonoma,5.25,4.62,5.95,266
Stanislaus,11.82,10.76,12.96,477
Sutter,13.81,11.23,16.82,107
Tehama,8.54,6.29,11.39,52
Trinity,6.79,3.85,12,16
Tulare,9.23,8.19,10.37,291
Tuolumne,7.49,5.38,10.26,50
Ventura,5.66,5.12,6.23,430
Yolo,6.66,5.45,8.07,110
Yuba,17.72,14.46,21.53,106
