County,"Age-adjusted rate per 100,000",Lower 95% Limit,Upper 95% Limit,Number of cases
Alameda,5.4,4.28,6.73,90
Alpine,N/A,N/A,N/A,N/A
Amador,54.02,30.62,87.48,19
Butte,40.37,31.94,50.32,89
Calaveras,34.39,18.38,58.74,20
Colusa,54.25,26.97,96.88,12
Contra Costa,9.59,7.9,11.55,120
Del Norte,N/A,N/A,N/A,N/A
El Dorado,20.26,13.6,28.88,34
Fresno,28.28,24.98,31.88,278
Glenn,47.52,24.84,81.94,13
Humboldt,10.7,5.98,17.72,16
Imperial,103.31,87.25,121.33,161
Inyo,73.15,37.3,127.95,14
Kern,34.58,30.73,38.78,304
Kings,32.53,23.76,43.43,47
Lake,49.08,31.93,71.63,29
Lassen,N/A,N/A,N/A,N/A
Los Angeles,7.7,7.16,8.28,778
Madera,34.47,25.48,45.52,52
Marin,5.62,2.96,9.67,15
Mariposa,N/A,N/A,N/A,N/A
Mendocino,18.54,10.53,30.17,18
Merced,29.07,22.93,36.35,80
Modoc,N/A,N/A,N/A,N/A
Mono,N/A,N/A,N/A,N/A
Monterey,4.52,2.66,7.13,18
Napa,8.06,4.07,14.38,13
Nevada,19.52,11.13,31.62,22
Orange,5.07,4.31,5.94,164
Placer,15.9,12.3,20.23,72
Plumas,N/A,N/A,N/A,N/A
Riverside,26.5,24.47,28.65,659
Sacramento,15.39,13.52,17.44,255
San Benito,N/A,N/A,N/A,N/A
San Bernardino,19.55,17.69,21.56,422
San Diego,7.55,6.63,8.55,255
San Francisco,3.23,2.07,4.8,27
San Joaquin,18.58,15.65,21.9,147
San Luis Obispo,12.68,8.64,17.91,35
San Mateo,3.22,2.04,4.83,25
Santa Barbara,4.44,2.62,7,19
Santa Clara,5.88,4.82,7.11,111
Santa Cruz,4.76,2.36,8.48,12
Shasta,50.64,40.39,62.65,93
Sierra,N/A,N/A,N/A,N/A
Siskiyou,N/A,N/A,N/A,N/A
Solano,13.65,10.34,17.67,60
Sonoma,8.91,6.43,12.03,46
Stanislaus,28.44,24.1,33.34,159
Sutter,26.94,17.46,39.62,27
Tehama,58.95,40.68,82.32,37
Trinity,N/A,N/A,N/A,N/A
Tulare,29.84,24.9,35.45,135
Tuolumne,22.78,10.97,41.49,13
Ventura,6.02,4.47,7.93,53
Yolo,16.88,11.54,23.81,36
Yuba,29.1,18.49,43.57,24
