State,county,FIPS State,FIPS County
California,Alameda,6,1
California,Alpine,6,3
California,Amador,6,5
California,Butte,6,7
California,Calaveras,6,9
California,Colusa,6,11
California,Contra Costa,6,13
California,Del Norte,6,15
California,El Dorado,6,17
California,Fresno,6,19
California,Glenn,6,21
California,Humboldt,6,23
California,Imperial,6,25
California,Inyo,6,27
California,Kern,6,29
California,Kings,6,31
California,Lake,6,33
California,Lassen,6,35
California,Los Angeles,6,37
California,Madera,6,39
California,Marin,6,41
California,Mariposa,6,43
California,Mendocino,6,45
California,Merced,6,47
California,Modoc,6,49
California,Mono,6,51
California,Monterey,6,53
California,Napa,6,55
California,Nevada,6,57
California,Orange,6,59
California,Placer,6,61
California,Plumas,6,63
California,Riverside,6,65
California,Sacramento,6,67
California,San Benito,6,69
California,San Bernardino,6,71
California,San Diego,6,73
California,San Francisco,6,75
California,San Joaquin,6,77
California,San Luis Obispo,6,79
California,San Mateo,6,81
California,Santa Barbara,6,83
California,Santa Clara,6,85
California,Santa Cruz,6,87
California,Shasta,6,89
California,Sierra,6,91
California,Siskiyou,6,93
California,Solano,6,95
California,Sonoma,6,97
California,Stanislaus,6,99
California,Sutter,6,101
California,Tehama,6,103
California,Trinity,6,105
California,Tulare,6,107
California,Tuolumne,6,109
California,Ventura,6,111
California,Yolo,6,113
California,Yuba,6,115
